dd,날짜,기준가,전일대비,등락율,설정액 (억),순 자산액(억),과표기준가
0,2018.04.06,4929.99,26.4,-0.53,85,83,5076.54
1,2018.04.05,4956.39,61.01,-1.22,89,88,5076.57
2,2018.04.04,5017.4,119.08,2.43,88,87,5076.6
3,2018.04.03,4898.32,121.23,2.54,88,85,5076.63
4,2018.04.02,4777.09,114.03,2.45,89,85,5076.66
5,2018.03.30,4663.06,81.01,1.77,89,83,5076.75
6,2018.03.29,4582.05,27.2,0.6,89,81,5076.78
7,2018.03.28,4554.85,38.96,0.86,91,82,5076.81
8,2018.03.27,4515.89,82.64,1.86,89,80,5076.84
9,2018.03.26,4433.25,152.06,-3.32,89,78,5076.88
0,2018.03.23,4585.31,13.73,0.3,89,81,5076.98
1,2018.03.22,4571.58,48.57,-1.05,89,81,5077.02
2,2018.03.21,4620.15,14.33,-0.31,89,82,5077.05
3,2018.03.20,4634.48,7.37,-0.16,89,82,5077.09
4,2018.03.19,4641.85,7.58,0.16,91,84,5077.12
5,2018.03.16,4634.27,56.08,1.22,91,83,5077.23
6,2018.03.15,4578.19,22.52,-0.49,91,82,5077.27
7,2018.03.14,4600.71,80.78,-1.73,91,83,5077.3
8,2018.03.13,4681.49,2.89,-0.06,91,84,5077.34
9,2018.03.12,4684.38,201.41,4.49,91,84,5077.37
0,2018.03.09,4482.97,23.82,0.53,92,82,5077.45
1,2018.03.08,4459.15,12.26,-0.27,92,82,5075.59
2,2018.03.07,4471.41,117.99,2.71,92,82,5075.27
3,2018.03.06,4353.42,66.09,-1.5,92,80,5075.31
4,2018.03.05,4419.51,63.37,-1.41,94,82,5075.35
5,2018.03.02,4482.88,60.16,-1.32,94,83,5075.47
6,2018.02.28,4543.04,4.29,-0.09,94,85,5077.3
7,2018.02.27,4547.33,67.5,-1.46,94,85,5077.34
8,2018.02.26,4614.83,21.04,0.46,94,86,5077.38
9,2018.02.23,4593.79,29.73,-0.64,95,87,5077.5
0,2018.02.22,4623.52,42.84,0.94,95,87,5077.53
1,2018.02.21,4580.68,108.18,-2.31,95,87,5077.57
